Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Кибкало,Мирослав,Андрійович,male,1947-08-20,Кіноактор,хутір Алушта,"площа Довженка, буд. 56 кв. 87, Ясинувата, 87243",+380 20 062-14-21,veniiamyn15@example.com
Туркало,Лариса,Аврелійовна,female,1957-03-18,Детектив,селище Шпола,"набережна Гімназична, буд. 911 кв. 3, Умань, 94985",060 522 29 46,onishchukhennadii@example.org
Скопенко,Аніта,Олександрівна,female,1961-05-30,Ріелтор,хутір Кремінна,"провулок Парусна, буд. 8, Ямпіль, 08094",331 10 67,hzaiets@example.net
Пушкар,Давид,Глібович,male,2007-10-12,Слідчий,місто Шостка,"площа Слобідська, буд. 04 кв. 9, Прилуки, 76087",036 088 54 00,qderehus@example.org
Макогон,Онисим,Трохимович,male,1988-12-15,Паралегал,село Докучаєвськ,"проспект Десята, буд. 5 кв. 227, Буча, 72624",032 439-43-65,halyna81@example.com
Михайличенко,Тетяна,Богданівна,female,1949-08-02,Публіцист,село Христинівка,"узвіз Розумовський 2-й, буд. 418, Теребовля, 01451",+380 (26) 946-08-12,aarondavydenko@example.net
Лисенко,Юстим,Степанович,male,2000-11-06,Фольклорист,селище Першотравенськ,"набережна Тарутинська, буд. 262 кв. 388, Дебальцеве, 19940",017 383 82 74,ierchenkoirena@example.com
Дашкевич,Лукʼян,Валентинович,male,1939-10-02,Юрист,місто Павлоград,"узвіз Велика Арнаутська, буд. 41, Соледар, 94670",+380 02 331-56-05,iaroslava45@example.org
Копитко,Ярина,Олександрівна,female,1954-02-19,Юрист,селище Вільнянськ,"проспект Одеса-Головна, буд. 857 кв. 42, Перевальськ, 40638",+380 99 615-78-89,virarudyk@example.net
Приймак,Остап,Костянтинович,male,1992-04-19,Шериф,село Андрушівка,"сквер Мацієвської, буд. 4, Почаїв, 81261",449 62 05,klymentholoborodko@example.net
Овсієнко,Маруся,Богданівна,female,2005-12-17,Гірник,місто Калинівка ,"сквер Бодаревського, буд. 158 кв. 6, Барвінкове, 08679",080-73-58,orysiakolisnychenko@example.org
Романчук,Сніжана,Соломонівна,female,1972-02-21,Модельєр,місто Семенівка,"вулиця Таїрова, буд. 9 кв. 6, Сулимівка (Слов'янськ), 79954",505-35-66,khrystynanosenko@example.com
Бабійчук,Зорян,Назарович,male,1984-08-29,Патологоанатом,селище Залізне,"набережна Рельєфна, буд. 98 кв. 508, Голубівка, 05737",+380 26 093-10-04,ctytarenko@example.net
Ляшко,Дарина,Данилівна,female,1962-06-12,Журналіст,хутір Кропивницький,"проспект Миколи Плигуна, буд. 290, Бровари, 26585",485 33 48,vzakharchenko@example.org
Архипенко,Амалія,Гордіївна,female,2008-03-29,Кінорежисер,місто Полтава,"вулиця Шампанський, буд. 96, Бережани, 44258",041 328-12-33,perepelytsiazynovii@example.net
Савенко,Варвара,Глібівна,female,2007-05-23,Дантист,село Карлівка,"сквер Стахановський 4-й, буд. 550, Бердянськ, 13911",010 065-14-82,okhrimenkoherman@example.org
Чала,Марія,Едуардівна,female,1969-07-12,Прокурор,село Рені,"парк Різовська, буд. 524 кв. 721, Малин, 31970",655-10-05,uarsenych@example.com
Євтушок,Венедикт,Кирилович,male,2003-01-23,Правник,село Підгайці,"площа Лазурний 2-й, буд. 70, Зугрес, 36394",+380 71 717-02-54,amaliiadeisun@example.net
Данильчук,Богданна,Вʼячеславівна,female,1991-05-03,Детектив,селище Тиврів,"площа Дмитрія Донського, буд. 1 кв. 5, Ірміно, 87748",708-46-12,hannadrobakha@example.org
Примаченко,Вікторія,Іванівна,female,1982-12-19,Локсмайстер,село Часів Яр,"проспект Куниці, буд. 500, Берестечко, 72885",+380 42 509-84-40,iurchukiustym@example.com
Зарудна,Віра,Августинівна,female,1939-09-11,Антрополог,хутір Яготин,"парк Артилерійська, буд. 390, Бахмач, 48621",868 30 71,eduard00@example.net
Вакарчук,Людмила,Артемівна,female,1987-12-20,Дипломат,селище Алчевськ,"парк Марсельська, буд. 27, Монастириська, 32270",+380 (51) 306-03-28,bohdanna92@example.org
Карпа,Давид,Назарович,male,1983-04-17,Актор,місто Богуслав,"сквер Рівний, буд. 934 кв. 701, Нововолинськ, 51430",+380 69 823-71-01,hermanmykhailychenko@example.net
Атаманчук,Ярина,Гаврилівна,female,1946-08-25,Паралегал,хутір Світловодськ,"сквер Олександра Невського 3-й, буд. 179, Березань , 09034",083 843 43 03,zlatoslavakhmara@example.com
Гавриш,Маруся,Іллівна,female,1969-11-10,Детектив,селище Ірпінь,"узвіз Крушельницької, буд. 49, Каховка, 03782",991 45 52,serhii99@example.org
Дашенко,Сніжана,Ігнатівна,female,1968-04-20,Електротехнік,село Зоринськ,"сквер Марата 1-й, буд. 3 кв. 9, Бобровиця, 94073",095 415-48-63,violettatverdokhlib@example.org
Мамчур,Златослава,Ігнатівна,female,1941-02-10,Ветеринар,селище Новояворівськ,"узвіз Лазурний 5-й, буд. 81 кв. 537, Рахів, 45152",243 29 25,haidamakaiarema@example.net
Малишко,Омелян,Семенович,male,1962-06-01,Стиліст,селище Новодружеськ,"шосе Лінія 47-ма, буд. 15 кв. 06, Нова Каховка, 54414",025 716 11 47,sirchenkoboryslav@example.net
Москаль,Пармен,Максимович,male,1980-05-28,Пілот,місто Судова Вишня,"узвіз 40-річчя оборони Одеси, буд. 02, Петрово-Красносілля, 57960",+380 74 132 86 89,demyd33@example.com
Сіробаба,Варвара,Зорянівна,female,1958-08-22,Дизайнер,хутір Сєвєродонецьк,"сквер Творча, буд. 157, Белз, 84888",+380 (93) 099-23-83,rarkhymovych@example.org
Вернигора,Ігнат,Аркадійович,male,1987-05-18,Маркетолог,селище Бережани,"сквер Просьолочна, буд. 6, Андрушівка, 48800",031 270 51 22,boleslav97@example.org
Удовенко,Василина,Климентівна,female,1993-04-21,Фрілансер,хутір Бобринець,"парк Романа Кармена, буд. 483 кв. 4, Іршава, 76802",+380 (11) 141-55-82,taras80@example.org
Запорожець,Альбіна,Геннадіївна,female,1952-06-05,Електромонтажник,селище Глухів,"парк Кісельова Ігоря, буд. 7 кв. 78, Олевськ, 93693",639 14 19,mariana13@example.com
Бандера,Леонід,Миколайович,male,2004-01-07,Програміст,місто Соледар,"набережна 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 475 кв. 889, Чортків, 94308",858 14 91,phabelko@example.net
Шморгун,Гаврило,Андрійович,male,1941-09-24,Диригент,село Бровари,"сквер Бітумна, буд. 24, Городенка, 67533",+380 66 787-90-12,rvdovychenko@example.com
Гоголь,Святослава,Адамівна,female,1985-09-17,Детектив,селище Ізюм,"сквер Ремонтна, буд. 199, Подільськ, 52214",+380 66 000 35 08,heorhii89@example.net
Ярош,Ярема,Вікторович,male,1959-10-29,Електрик,місто Радивилів,"узвіз Державіна, буд. 29 кв. 9, Коростень, 27062",+380 74 846 34 55,iustym17@example.org
Фурс,Надія,Романівна,female,1970-04-07,Археолог,місто Кременчук,"площа Посмітного, буд. 487, Жовква, 07598",052 488 09 73,ktymchenko@example.org
Єрошенко,Петро,Веніяминович,male,1980-02-12,М'ясник,селище Ланівці,"проспект Балківська, буд. 685, Нововолинськ, 60414",+380 37 351-64-15,vitaliifastenko@example.org
Данчук,Світлана,Єфремівна,female,2008-02-09,Підприємець,хутір Каховка,"проспект Олександра Матросова, буд. 46 кв. 54, Чорнобиль, 19551",500 97 07,valentynahavrylenko@example.net
Микитюк,Максим,Гордійович,male,1946-03-11,Архітектор,село Зборів,"площа Аеропортівський 1-й, буд. 02, Сватове, 09281",093 801 76 66,bkorbut@example.com
Лагода,Прохір,Болеславович,male,1942-11-29,Агроном,село Красноперекопськ,"шосе Сільська, буд. 75, Дрогобич, 43678",073 169-63-41,albertorlyk@example.org
Скопенко,Ярема,Богуславович,male,1940-06-29,Дерун,село Борзна,"шосе Прохоровський, буд. 021 кв. 8, Старий Крим, 02940",+380 59 246-63-05,olena44@example.com
Атаманюк,Еріка,Адамівна,female,1992-09-07,Клоун,хутір Тиврів,"парк Лінія 22-га, буд. 54 кв. 70, Красноград, 08424",024 605-87-32,edavymuka@example.com
Базилевський,Юхим,Юхимович,male,1958-02-12,Бізнесмен,місто Кальміуське,"набережна Восьмого Березня Лінія 3-тя, буд. 12 кв. 5, Синельникове, 43105",066 626 69 45,tereshchenkohennadii@example.net
Ткач,Альберт,Опанасович,male,1948-01-31,Соціолог,село Канів,"площа Катерининська, буд. 73, Верхівцеве, 76523",+380 (89) 411-68-88,vbaida@example.net
Баранник,Борислав,Миколайович,male,1947-11-23,Математик,селище Токмак,"парк 3-тя Суворовська, буд. 2, Вашківці, 72848",+380 38 865-49-59,kadeniukoles@example.net
Ажажа,Василь,Леопольдович,male,1987-12-03,Петрограф,хутір Іловайськ,"парк Кришталева, буд. 2 кв. 8, Костопіль, 51595",+380 01 594-52-26,tfastenko@example.com
Гайда,Борислав,Демидович,male,1980-10-25,Дипломат,село Каховка,"парк Заньковецької, буд. 928 кв. 21, Бахмут, 76611",436 79 47,baklankhrystyna@example.net
Давимука,Ірена,Германівна,female,1983-03-05,Геолог,хутір Долинська,"шосе Курська, буд. 07, Балаклія, 01774",946 26 10,lizanosenko@example.org
Даценко,Марʼяна,Зорянівна,female,2001-06-08,Дизайнер,місто Охтирка,"сквер Литовська, буд. 165, Міусинськ, 27112",074 679-84-56,qshcherban@example.com
Бабенко,Ростислав,Назарович,male,1974-03-05,Євнух,селище Андрушівка,"набережна Парусна, буд. 535 кв. 25, Бунге , 13188",214 56 37,sofiia83@example.org
Ляшко,Прохір,Демидович,male,1998-04-10,Кухар,село Моспине,"вулиця Газова, буд. 7 кв. 7, Боково-Хрустальне, 91967",+380 39 915-08-78,lubenetshlib@example.org
Юхименко,Костянтин,Єфремович,male,2000-10-30,Бібліограф,місто Ананьїв,"шосе Сосюри, буд. 62, Новий Розділ, 93429",053 793-55-13,taranostap@example.com
Аврамчук,Галина,Германівна,female,1950-02-06,Реставратор,селище Кам'янець-Подільський,"сквер Глиняна, буд. 666 кв. 265, Приморськ (Україна), 85606",+380 (72) 002-62-59,levkobabii@example.net
Корж,Назар,Юстимович,male,1948-03-23,Слідчий,селище Бахмут,"провулок Артилерійський 2-й, буд. 924, Енергодар, 30198",601 68 15,avhustynkolodub@example.org
Коваленко,Клавдія,Зорянівна,female,1988-01-11,Вчитель,місто Гуляйполе,"провулок Дачний 2-й, буд. 20, Попасна, 78100",098 577-07-55,mykhailynaokhrymovych@example.com
Парасюк,Людмила,Олегівна,female,1973-04-01,Фольклорист,місто Нове Давидково,"шосе Кордонний, буд. 03 кв. 887, Зіньків, 98985",+380 (94) 035-16-34,zakhar59@example.net
Вівчаренко,Дарина,Остапівна,female,1989-09-04,Архітектор,хутір Мала Виска,"набережна Спортивний, буд. 689, Івано-Франківськ, 11282",+380 55 014 62 70,heorhii10@example.net
Ребрик,Михайлина,Борисівна,female,1986-12-01,Конструктор,місто П'ятихатки,"шосе Лінія 39-та, буд. 1, Бориспіль, 02277",+380 51 535 38 49,govsiienko@example.com
Туркало,Опанас,Вікторович,male,1978-09-04,Програміст,село Кременець,"сквер Спортивний, буд. 45 кв. 0, Мукачево, 35320",054 212-36-08,ozaiets@example.org
Худобʼяк,Альбіна,Романівна,female,1958-06-04,Етнограф,місто Рогатин,"провулок 13-та Суворовська, буд. 3 кв. 6, Роздільна, 51745",+380 77 691-77-94,dziubaonysym@example.com
Дерегус,Орина,Вікторівна,female,1987-06-03,Ріелтор,селище Судова Вишня,"проспект Красна, буд. 561 кв. 01, Іловайськ, 73171",+380 47 464-84-60,wusyk@example.net
Андріїшин,Ада,Несторівна,female,1955-04-17,Випробувач,село Івано-Франківськ,"вулиця Василя Стуса, буд. 2 кв. 9, Могилів-Подільський, 64056",+380 43 678 32 64,iustyna44@example.net
Даньків,Арсен,Азарович,male,1938-12-28,Фотограф,місто Могилів-Подільський,"площа Андрійця Олега, буд. 099, Мала Виска, 34309",+380 (88) 765-99-57,gerustrokhym@example.net
Байдак,Софія,Ігорівна,female,1941-10-19,Візажист,селище Попасна,"вулиця Колекційна, буд. 04 кв. 44, Довжанськ, 43688",+380 66 057-87-79,bohuslavazhurba@example.com
Наливайко,Любов,Ігорівна,female,1958-07-05,Перекладач,місто Вишгород,"парк Студентський, буд. 8, Білозерське, 80754",+380 44 462-20-56,ebabiak@example.com
Вахній,Тетяна,Георгіївна,female,1985-06-08,Історик,село Умань,"сквер Рачкова, буд. 187 кв. 42, Молочанськ, 20635",+380 68 275-38-90,larysa00@example.net
Акуленко,Клавдія,Данилівна,female,1994-05-06,Соціолог,місто Могилів-Подільський,"сквер Лазурний 2-й, буд. 4 кв. 47, Теребовля, 05833",053 946-52-25,vladyslav58@example.com
Рябовіл,Єлисей,Русланович,male,1999-03-24,Стропальник,місто Вільногірськ,"проспект Цимлянська, буд. 2 кв. 914, Сімферополь, 31013",047 114-60-18,volodymyrazubko@example.org
Товстуха,Данна,Павлівна,female,1978-05-17,Золотар,селище Родинське,"набережна Дубова, буд. 5, Куп'янськ, 55880",189-11-37,qzabila@example.net
Щириця,Клавдія,Францівна,female,1996-10-31,Каскадер,селище Березань ,"вулиця Зернова, буд. 68 кв. 26, Бар, 59409",+380 89 858-43-23,rudkotrokhym@example.org
Шамрай,Пріска,Борисівна,female,1977-02-21,Перекладач,місто Дніпро ,"проспект Озерна, буд. 6 кв. 8, Ужгород, 67377",+380 (70) 522-55-10,pnehoda@example.com
Іващенко,Тетяна,Богданівна,female,2004-06-20,Провізор,село Петрово-Красносілля,"площа Прорізна, буд. 5, Львів, 78301",035 41 35,serhii17@example.net
Єрмоленко,Пармен,Климентович,male,1949-03-11,Сантехнік,місто Липовець,"площа Партизанська, буд. 688, Апостолове, 64305",066 828-57-65,galagandmytro@example.com
Зарудний,Дан,Кирилович,male,1989-10-24,Астронавт,хутір Світлодарськ,"провулок 7-ма Лінія Дачі Ковалевського, буд. 966, Гола Пристань, 33553",058-68-50,amaliia34@example.com
Сомко,Пріска,Леопольдівна,female,1984-03-06,Антрополог,село Радехів,"провулок Басейний 3-й, буд. 109 кв. 4, Радомишль, 35546",039 567-73-11,eduardtiahnybok@example.com
Василевич,Лукʼян,Аврелійович,male,2007-04-04,Модель,селище Хотин,"провулок Майстерний, буд. 76, Рівне, 22807",+380 (11) 342-92-21,vasylyna17@example.com
Артимишин,Трохим,Бориславович,male,1943-05-11,Дипломат,селище Ходорів,"проспект Садова 6-та, буд. 629 кв. 4, Конотоп, 97196",+380 93 087 83 74,ustym82@example.net
Товстоліс,Варвара,Ігнатівна,female,1985-09-25,Єгер,селище Полтава,"шосе Городня, буд. 2, Калуш, 40771",029 683 97 87,orest75@example.net
Дейнеко,Альберт,Богуславович,male,1968-07-16,Стиліст,село Сімферополь,"узвіз Садова, буд. 80 кв. 7, Залізне, 44297",173 92 40,ihnat25@example.com
Ярема,Тетяна,Валентинівна,female,1965-08-27,Історик,село Кілія,"провулок Шевченка парк, буд. 619, Долинська, 83891",+380 34 823-45-69,ustym77@example.com
Рябовіл,Валентина,Святославівна,female,2003-11-10,Адвокат,місто Керч,"провулок Торгова, буд. 56 кв. 24, Тальне, 78249",+380 56 686-21-54,leopold78@example.org
Гоголь,Галина,Адамівна,female,1980-05-10,Патологоанатом,село Червоноград,"вулиця Івана Франка, буд. 714 кв. 134, Тлумач, 39662",029 097-32-12,kostiantynpylypenko@example.org
Шиян,Ада,Ігорівна,female,1972-10-01,Гірник,місто Березань ,"сквер Соляна, буд. 1, Свалява, 44544",+380 66 888-93-39,feofan67@example.net
Колодуб,Валентина,Ростиславівна,female,1965-01-09,Музикознавець,місто Миронівка,"проспект Рішельєвська, буд. 6 кв. 9, Хуст, 32703",+380 82 477 71 60,vatamaniukpavlo@example.net
Забіла,Спас,Артемович,male,1938-10-31,Геолог,селище Ніжин,"вулиця Тиха, буд. 35, Знам'янка, 87246",+380 (68) 887-50-67,gtelizhenko@example.com
Івасюк,Ліза,Стефанівна,female,2004-12-10,Співак,місто Полтава,"узвіз Черкаська, буд. 40, Погребище, 80793",834 38 24,opanas05@example.net
Юрченко,Аліна,Леонтіївна,female,1960-05-29,Електротехнік,хутір Покров,"проспект Лінія 54-та, буд. 8 кв. 6, Бобринець, 18290",926 25 06,sachenkotereza@example.net
Полтавець,Наталія,Ігорівна,female,1947-09-05,Гицель,село Баштанка,"набережна Колонічна, буд. 649, Привілля, 15661",+380 70 319-45-92,davydshapoval@example.org
Макогон,Ада,Єлисеївна,female,1982-11-18,Стропальник,село Довжанськ,"сквер Людмили Гінзбург, буд. 184 кв. 15, Лозова , 73249",990-03-46,nestor06@example.net
Дараган,Варфоломій,Григорійович,male,1954-09-22,Візажист,хутір Монастирище,"площа Ракетна, буд. 75 кв. 6, Немирів, 08741",173-80-67,khmaravenedykt@example.com
Вовк,Вікторія,Мирославівна,female,1983-09-15,Астрофізик,селище Новомосковськ,"узвіз Мариністів, буд. 341 кв. 78, Пустомити, 41910",268 86 71,hsych@example.org
Штокало,Тарас,Святославович,male,1960-08-31,Астроном,село Дружба ,"вулиця Кренкеля, буд. 053, Ямпіль, 82309",+380 09 392-40-68,volodymyrshukhevych@example.net
Гайда,Зорян,Романович,male,1991-03-18,Гінеколог,селище Біляївка,"площа Студентський 5-й, буд. 01 кв. 393, Помічна, 13787",+380 83 012-74-61,stanislav98@example.org
Кальченко,Гаврило,Богуславович,male,1990-03-01,Літературознавець,село Волноваха,"узвіз Міцкевича, буд. 4, Фастів, 57723",+380 36 149-56-39,mrebryk@example.org
Забашта,Любов,Ярославівна,female,1963-08-16,Актор,село Острог,"провулок Поперечний, буд. 42, Вінниця, 76581",+380 50 847 47 58,chornovilmykhailyna@example.com
Щириця,Панас,Веніяминович,male,1990-06-05,Мікробіолог,місто Новомосковськ,"парк Нафтовиків, буд. 157, Ізмаїл, 92182",023 031 77 50,ehavryshkevych@example.net
Забарна,Святослава,Спасівна,female,1972-07-27,Няня,хутір Стебник,"парк Дніпровська, буд. 058 кв. 991, Стрий, 83748",+380 19 733-97-84,dubasbohdan@example.org
Гайда,Оксана,Васильівна,female,1982-06-08,Гірник,селище Турка,"вулиця Стороженка Олега, буд. 57 кв. 840, Старокостянтинів, 20888",+380 (08) 038-35-11,svdovenko@example.com
Лагода,Панас,Глібович,male,1980-05-04,Паблік рилейшнз,селище Виноградів,"площа Восьмого Березня Лінія 4-та, буд. 712 кв. 918, Бурштин , 77273",+380 87 915-81-81,zakhar77@example.com
Юрченко,Аніта,Варфоломіївна,female,1960-04-14,Петрограф,місто Волочиськ,"сквер Вєтрогонова, буд. 51, Новий Калинів, 10658",+380 93 777 02 17,prytulaaaron@example.org
Євдокименко,Оксана,Демʼянівна,female,1941-12-27,Нотаріус,селище Суходільськ,"парк Аеродромний 2-й, буд. 3 кв. 504, Путивль, 32764",+380 (02) 954-50-40,bohuslavamykhaliuk@example.com
Шило,Галина,Марківна,female,1976-11-06,Реставратор,село Коростень,"провулок Тупиковий 2-й, буд. 089, Бершадь, 35985",025 500-14-99,andrii81@example.net
Лукаш,Амвросій,Омелянович,male,1944-11-05,Стропальник,село Хрестівка,"провулок Наявний 5-й, буд. 3 кв. 445, Довжанськ, 58074",+380 11 164-68-94,yiemelianenko@example.org
Піддубна,Марʼяна,Ярославівна,female,1997-11-21,Стиліст,хутір Нововолинськ,"проспект Балтський 7-й, буд. 4 кв. 022, Кам'янець-Подільський, 10801",041 477-47-70,kyrylo96@example.org
Валенко,Валентин,Єфремович,male,1980-01-27,Будник,хутір Хуст,"вулиця Каштанова, буд. 430, Вовчанськ, 57613",090 581 20 20,vasyl14@example.org
Орлик,Сніжана,Трохимівна,female,1994-05-11,Живописець,село Соснівка ,"сквер Молоді, буд. 87, Євпаторія, 05608",023 610-59-72,pavlykvladyslav@example.net
Верменич,Златослава,Зорянівна,female,1978-12-06,Фрілансер,хутір Васильків,"набережна Комітетська, буд. 66, Енергодар, 88078",018 631-35-91,shvachkoillia@example.com
Єрошенко,Леонтій,Леонтійович,male,1994-05-04,Локсмайстер,хутір Черкаси,"проспект Обривиста, буд. 855 кв. 428, Березівка, 46635",+380 59 622-53-93,prokhir91@example.net
Рябець,Макар,Стефанович,male,2004-03-16,Дантист,хутір Дубно,"парк Демократична, буд. 874, Старокостянтинів, 89815",+380 (26) 112-68-95,ivashchenkoiarema@example.net
Худяк,Єлисавета,Давидівна,female,1951-08-14,Продюсер,селище Заводське,"узвіз Дорожня, буд. 1, Довжанськ, 83989",+380 91 514 83 52,kamilla24@example.org
Заїка,Світлана,Олександрівна,female,1976-10-16,Доцент,селище Горішні Плавні,"набережна Альпіністів, буд. 6 кв. 73, Феодосія, 69878",031 532-16-84,rievtushok@example.net
Зубко,Станіслав,Артемович,male,1978-10-04,Графік,село Тисмениця,"проспект Красива, буд. 533, Червоносів, 08980",094 425-48-35,hrechanykavrelii@example.net
Мазепа,Франц,Аркадійович,male,1955-07-28,Машиніст,хутір Скадовськ,"вулиця Роздольна, буд. 443 кв. 17, Городенка, 06423",+380 51 860-54-25,obaranyk@example.net
Юхименко,Ольга,Андріївна,female,1966-01-21,Хореограф,хутір Шпола,"проспект Центральна, буд. 8 кв. 8, Броди, 92426",+380 00 728-23-14,albert44@example.org
Бабиченко,Святослава,Азарівна,female,1949-01-15,Секретар,місто Сватове,"сквер Тираспольська, буд. 693, Берестечко, 11563",+380 (88) 314-36-16,ldavymuka@example.net
Заїка,Варвара,Гордіївна,female,1976-04-13,Швачка,хутір Сміла,"парк Офіцерський 2-й, буд. 6 кв. 84, Дубровиця, 35605",+380 23 843-90-93,trokhym69@example.com
Тригуб,Михайло,Азарович,male,1971-02-14,Єгер,хутір Вовчанськ,"шосе Ушакова, буд. 873, Докучаєвськ, 31583",039 991 97 69,vasylmykhaliuk@example.com
Данильчук,Алевтин,Артемович,male,1967-04-10,Скульптор,хутір Старокостянтинів,"провулок Іподромний, буд. 0 кв. 454, Жмеринка, 56642",153 38 28,symonenkoielysaveta@example.net
Чорновіл,Георгій,Валерійович,male,1947-09-01,Державний службовець,хутір Алмазна,"сквер Польова, буд. 04, Берестечко, 53467",030 170-17-06,jishchak@example.net
Атаманчук,Нестор,Єфремович,male,1943-01-24,Біолог,хутір Українськ,"проспект Матеріальний 1-й, буд. 913, Гнівань, 30614",538-40-81,cstelmakh@example.org
Оберемко,Зорян,Геннадійович,male,1943-05-03,Географ,село Борислав,"провулок Березова, буд. 858 кв. 5, Жашків, 90526",+380 88 914-51-04,shamraidemyd@example.com
Джунь,Марʼяна,Максимівна,female,1952-12-24,Електротехнік,місто Кропивницький,"парк Пржевальського, буд. 1, Знам'янка, 35278",851-15-79,khomaadamenko@example.org
Яременко,Устим,Аврелійович,male,2004-10-05,Агроном,хутір Мостиська,"вулиця Короленка, буд. 3 кв. 0, Ворожба, 52570",080 331-05-05,zaietshalyna@example.org
Василенко,Симон,Станіславович,male,1968-09-16,Паралегал,місто Нововолинськ,"сквер Стеценко, буд. 778, Самбір, 33180",+380 41 508 24 81,zasiadkoboleslav@example.com
Сомко,Федір,Едуардович,male,1965-12-08,Футболіст,хутір Бершадь,"вулиця Авангардна, буд. 848, Прилуки, 09116",+380 97 123-59-23,khrystynachubai@example.com
Венгринович,Ірина,Валеріївна,female,1942-04-20,Провізор,хутір Червоносів,"парк Райдужна, буд. 116, Одеса, 83061",+380 37 864-54-38,klymenthaidai@example.org
Козаченко,Орхип,Яремович,male,1964-07-22,Кінолог,місто Нова Одеса,"узвіз Мічманський 2-й, буд. 6, Підгородне, 16702",+380 13 042-02-55,adabevz@example.com
Девдюк,Хома,Хомович,male,1961-06-18,Державний службовець,село Обухів,"узвіз Михайлівська, буд. 10 кв. 0, Дніпро , 81900",999-37-82,vmishchenko@example.net
Єрошенко,Віолетта,Григоріївна,female,2001-09-22,Льотчик,хутір Валки ,"площа Виноградна, буд. 31 кв. 0, Бучач, 19464",093 962-06-84,stetsandrii@example.org
Шило,Людмила,Глібівна,female,1988-12-27,Льотчик,місто Очаків,"проспект Хімічний 2-й, буд. 81 кв. 79, Герца, 54789",084 549 29 23,svitlana27@example.net
Талан,Дан,Зорянович,male,1945-08-12,Кінолог,хутір Кальміуське,"узвіз Новаторів, буд. 492, Обухів, 53720",+380 (61) 965-82-51,arsenychprokhir@example.org
Корпанюк,Юстина,Ярославівна,female,1961-11-22,Етнограф,хутір Молодогвардійськ,"узвіз Заводська, буд. 07, Рогатин, 50927",+380 (46) 487-70-55,fhodunok@example.com
Гаврилець,Сніжана,Азарівна,female,1976-12-21,Провізор,хутір Красилів,"проспект Штурвальна, буд. 8, Чорнобиль, 42088",093 929-61-38,hrechkosymon@example.com
Фаренюк,Алла,Опанасівна,female,1946-11-14,Зоолог,хутір Севастополь,"площа Висока, буд. 188 кв. 350, Кам'янець-Подільський, 59899",044 623 79 10,hutsuliakiakiv@example.com
Свириденко,Камілла,Леопольдівна,female,1946-09-23,Історик,село Остер ,"узвіз Кордонна, буд. 4, Родинське, 19301",612 49 23,zlatoslava46@example.net
Ярош,Адам,Альбертович,male,2002-01-07,Локсмайстер,село Козятин,"набережна Черепанових 2-й, буд. 5 кв. 3, Шпола, 97530",+380 90 627-38-16,shtokaloliudmyla@example.org
Девдюк,Марʼяна,Федорівна,female,2004-12-25,Гірник,село Сокаль,"площа Індійська, буд. 73, Зборів, 18180",+380 02 887 35 27,nestor68@example.net
Негода,Василина,Омелянівна,female,2004-05-23,Пілот,хутір Тиврів,"парк Омська, буд. 0, Львів, 30876",+380 (45) 346-34-59,mchernenko@example.com
Сиротенко,Еріка,Давидівна,female,1994-09-18,Швачка,місто Белз,"узвіз Хвойний, буд. 96 кв. 940, Покров, 22041",033 735 42 08,kyrylo32@example.org
Іващенко,Володимир,Леонідович,male,1960-03-30,Єгер,місто Южне,"сквер Олександра Невського 5-й, буд. 680 кв. 12, Ківерці, 42717",+380 48 395-94-14,uzinkevych@example.com
Єрьоменко,Ольга,Валеріївна,female,1993-06-26,Електромонтажник,хутір Бердянськ,"парк Юннатів, буд. 987, Вижниця, 26310",495 22 78,mykhailychenkoveniiamyn@example.net
Гриценко,Емілія,Несторівна,female,1946-06-25,М'ясник,село Суми,"шосе Головківська, буд. 6 кв. 79, Сватове, 11869",031 449-87-45,kizhakevych@example.net
Царенко,Ярослава,Тарасівна,female,1966-02-10,Науковець,місто Коростишів,"вулиця Юрія Олеші, буд. 66, Бурштин , 07364",084 837 87 88,mdeineko@example.org
Журба,Соломія,Опанасівна,female,1958-08-24,Кінорежисер,місто Жашків,"парк Перший Кришталевий, буд. 999, Мена , 57723",020 849-39-33,artiushenkohlib@example.org
Власюк,Святослав,Давидович,male,2001-03-21,Палеонтолог,село Вашківці,"парк Бузкова, буд. 061 кв. 056, Бобринець, 62270",+380 73 395-69-02,orkhyp06@example.com
Ковпак,Віталій,Ярославович,male,1940-11-01,Бібліотекар,хутір Євпаторія,"площа Парусна, буд. 8 кв. 73, Костянтинівка, 93479",003 743 31 49,hilchenko@example.org
Чумак,Мілена,Веніяминівна,female,1959-08-19,Диригент,село Свалява,"проспект Аркаса Миколи, буд. 0 кв. 22, Хуст, 65475",+380 (91) 424-96-02,iaroslava55@example.org
Савенко,Кирило,Адамович,male,1943-04-22,Режисер,селище Сулимівка (Слов'янськ),"проспект Садова, буд. 6 кв. 098, Прип'ять , 30279",046 231-88-45,zhuktetiana@example.com
Ванченко,Ада,Тарасівна,female,1989-03-11,Літературознавець,хутір Вишневе ,"вулиця Базарна, буд. 860, Зеленодольськ, 24762",850 45 60,danlemeshko@example.net
Баранник,Трохим,Артемович,male,1956-01-23,Єгер,місто Тульчин,"вулиця Балтський 1-й, буд. 9 кв. 286, Чуднів, 05561",037 58 47,marta65@example.com
